,data_indexes,lables,Latitude,Longitude,Parent Incident Type
2046,2180,1,42.926,-78.877,Assault
2062,2196,1,42.92,-78.888,Assault
2066,2200,1,42.942,-78.876,Theft
2070,2204,1,42.941,-78.881,Theft
2071,2205,1,42.951,-78.904,Breaking & Entering
2086,2220,1,42.954,-78.878,Theft
2090,2225,1,42.948,-78.902,Assault
2092,2227,1,42.926,-78.891,Theft of Vehicle
2112,2248,1,42.928,-78.884,Theft
2120,2258,1,42.938,-78.89,Theft
2124,2263,1,42.956,-78.897,Breaking & Entering
2137,2277,1,42.957,-78.863,Theft of Vehicle
2146,2287,1,42.955,-78.89,Breaking & Entering
2160,2301,1,42.919,-78.89,Theft
2162,2304,1,42.942,-78.868,Assault
2166,2308,1,42.955,-78.897,Sexual Offense
2167,2309,1,42.947,-78.891,Robbery
2168,2310,1,42.935,-78.9,Breaking & Entering
2175,2318,1,42.932,-78.877,Breaking & Entering
2176,2319,1,42.927,-78.884,Breaking & Entering
2177,2321,1,42.944,-78.869,Theft
2181,2325,1,42.956,-78.861,Theft
2182,2326,1,42.923,-78.877,Theft of Vehicle
2184,2328,1,42.954,-78.905,Assault
2185,2329,1,42.951,-78.906,Assault
2207,2353,1,42.949,-78.899,Breaking & Entering
2218,2364,1,42.935,-78.9,Assault
2219,2365,1,42.956,-78.898,Theft
2220,2366,1,42.948,-78.9,Assault
2221,2367,1,42.922,-78.877,Theft
2230,2376,1,42.951,-78.872,Breaking & Entering
2237,2383,1,42.928,-78.869,Theft of Vehicle
2255,2402,1,42.958,-78.863,Theft
2259,2406,1,42.941,-78.868,Breaking & Entering
2264,2412,1,42.949,-78.877,Theft
2271,2419,1,42.918,-78.894,Theft of Vehicle
2273,2421,1,42.942,-78.889,Theft
2286,2435,1,42.955,-78.878,Theft
2301,2454,1,42.954,-78.879,Theft
2307,2461,1,42.927,-78.888,Theft
2310,2464,1,42.943,-78.868,Theft
2313,2467,1,42.947,-78.878,Assault
2320,2474,1,42.932,-78.897,Theft
2324,2478,1,42.944,-78.899,Theft
2329,2483,1,42.947,-78.859,Theft
2330,2484,1,42.946,-78.891,Theft of Vehicle
